                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                0.71165,                 1.4562,                    1.1,                0.88099,                0.92107,                0.95665,                0.83145,                0.58359,                0.80431,                0.98366,             0.00016832,             0.00016832,             0.00016832
                     35,                0.68456,                 1.4456,                 1.0979,                0.90963,                0.93679,                0.96231,                0.83968,                 0.5872,                0.79652,                 0.9896,             0.00016585,             0.00016585,             0.00016585
                     36,                0.69361,                 1.3891,                 1.0769,                0.91656,                0.91241,                0.96436,                0.84528,                0.58179,                0.82225,                0.98367,             0.00016338,             0.00016338,             0.00016338
                     37,                0.67738,                 1.4179,                 1.0779,                0.91263,                0.92798,                0.96413,                0.84166,                0.59427,                0.79426,                 0.9912,              0.0001609,              0.0001609,              0.0001609
                     38,                0.65681,                 1.3554,                 1.0763,                0.89923,                0.92302,                0.96725,                0.83882,                0.59678,                0.79812,                0.99471,             0.00015843,             0.00015843,             0.00015843
                     39,                0.65969,                 1.3696,                 1.0757,                0.92664,                0.90431,                0.96414,                0.84138,                0.57097,                0.77328,                0.97638,             0.00015595,             0.00015595,             0.00015595
                     40,                0.67912,                  1.326,                 1.0722,                0.90357,                0.92035,                0.96228,                0.84552,                0.57551,                0.77938,                0.98199,             0.00015348,             0.00015348,             0.00015348
                     41,                0.64395,                   1.27,                 1.0657,                0.91824,                0.92702,                0.96954,                0.84552,                0.58201,                0.77778,                0.99059,               0.000151,               0.000151,               0.000151
                     42,                0.67816,                 1.3177,                 1.0854,                 0.8991,                0.93774,                0.96701,                0.83994,                0.58664,                0.74037,                0.99428,             0.00014853,             0.00014853,             0.00014853
                     43,                0.65954,                 1.2819,                 1.0802,                 0.9208,                0.92459,                0.96249,                0.84516,                0.56304,                0.74763,                 0.9814,             0.00014605,             0.00014605,             0.00014605
                     44,                0.64921,                  1.255,                 1.0793,                0.95342,                0.89946,                0.96927,                0.83618,                0.59994,                0.74301,                 1.0042,             0.00014358,             0.00014358,             0.00014358
                     45,                0.65564,                 1.2738,                 1.0762,                 0.9168,                0.92691,                0.97206,                0.85339,                0.55725,                  0.745,                0.97693,              0.0001411,              0.0001411,              0.0001411
                     46,                0.65034,                  1.261,                 1.0742,                 0.9418,                0.90524,                0.97422,                0.85817,                0.55462,                0.71854,                0.97114,             0.00013862,             0.00013862,             0.00013862
                     47,                0.64317,                  1.246,                 1.0762,                0.94099,                0.92114,                0.97083,                0.85707,                0.54443,                0.70623,                0.96632,             0.00013615,             0.00013615,             0.00013615
                     48,                0.67503,                 1.2457,                 1.0841,                0.92997,                0.92201,                0.97212,                0.85782,                0.54289,                  0.725,                  0.964,             0.00013368,             0.00013368,             0.00013368
                     49,                0.62982,                 1.2471,                 1.0634,                 0.9152,                0.93818,                0.97479,                0.85072,                0.58061,                0.71022,                0.98729,              0.0001312,              0.0001312,              0.0001312
                     50,                0.65404,                 1.2513,                 1.0724,                0.93055,                0.93874,                0.97621,                0.86192,                0.55983,                0.69441,                0.97872,             0.00012872,             0.00012872,             0.00012872
                     51,                0.63311,                 1.1623,                 1.0593,                0.92685,                0.95669,                0.97981,                0.86678,                0.54156,                0.67511,                0.96158,             0.00012625,             0.00012625,             0.00012625
                     52,                 0.6135,                 1.1495,                 1.0494,                0.93794,                0.95395,                0.97845,                0.86384,                0.56573,                 0.6786,                0.97996,             0.00012377,             0.00012377,             0.00012377
                     53,                0.63433,                 1.1921,                 1.0646,                0.94945,                0.95045,                0.97906,                0.86677,                0.55028,                 0.6699,                0.97082,              0.0001213,              0.0001213,              0.0001213
                     54,                0.63035,                 1.1513,                 1.0581,                0.95291,                 0.9292,                0.97645,                0.86012,                0.56419,                 0.6818,                0.97362,             0.00011883,             0.00011883,             0.00011883
                     55,                0.64265,                 1.1642,                 1.0636,                0.92964,                0.93745,                0.97328,                0.85721,                0.56595,                0.68854,                0.96627,             0.00011635,             0.00011635,             0.00011635
                     56,                0.62545,                 1.1359,                 1.0449,                0.93824,                0.94042,                0.97624,                0.86635,                0.53788,                0.66409,                0.95542,             0.00011387,             0.00011387,             0.00011387
                     57,                0.62131,                  1.141,                 1.0509,                0.94835,                0.92547,                0.97404,                0.85913,                0.54843,                0.65904,                0.96744,              0.0001114,              0.0001114,              0.0001114
                     58,                0.62801,                 1.1079,                  1.059,                 0.9484,                 0.9391,                0.97501,                0.86057,                 0.5599,                0.67196,                0.97127,             0.00010893,             0.00010893,             0.00010893
                     59,                0.60981,                 1.0902,                 1.0505,                0.93484,                0.94369,                0.97902,                0.86689,                0.54253,                 0.6661,                 0.9606,             0.00010645,             0.00010645,             0.00010645
                     60,                0.63657,                 1.1174,                 1.0621,                0.93274,                0.93721,                0.97752,                0.85342,                  0.611,                0.66113,                 1.0079,             0.00010398,             0.00010398,             0.00010398
                     61,                0.62444,                 1.0927,                 1.0531,                0.93264,                 0.9448,                 0.9736,                0.86133,                0.54952,                0.65084,                 0.9691,              0.0001015,              0.0001015,              0.0001015
                     62,                 0.6269,                 1.1187,                 1.0534,                0.94284,                0.93516,                0.97931,                0.86098,                0.56857,                 0.6493,                0.97597,             9.9025e-05,             9.9025e-05,             9.9025e-05
                     63,                0.60372,                 1.1038,                  1.049,                0.93885,                0.92929,                0.97609,                0.85758,                0.56404,                0.65397,                0.98186,              9.655e-05,              9.655e-05,              9.655e-05
                     64,                0.61166,                 1.0677,                 1.0597,                0.94391,                0.93192,                0.97587,                0.86747,                0.54526,                0.63946,                0.96788,             9.4075e-05,             9.4075e-05,             9.4075e-05
                     65,                0.60048,                 1.0747,                 1.0437,                0.94311,                0.94247,                0.98122,                0.86716,                0.55632,                0.63169,                0.97137,               9.16e-05,               9.16e-05,               9.16e-05
                     66,                 0.5982,                 1.0815,                 1.0457,                0.95135,                0.93519,                0.98014,                0.87176,                0.54792,                0.62117,                0.96176,             8.9125e-05,             8.9125e-05,             8.9125e-05
                     67,                0.61136,                 1.0864,                  1.053,                0.94423,                0.93678,                0.97779,                0.85523,                 0.5775,                0.63574,                0.97671,              8.665e-05,              8.665e-05,              8.665e-05
                     68,                0.61427,                 1.0793,                 1.0472,                0.94859,                0.94413,                0.97968,                0.86045,                0.55178,                0.62639,                0.96565,             8.4175e-05,             8.4175e-05,             8.4175e-05
                     69,                0.60008,                 1.0792,                 1.0528,                0.92585,                0.95896,                0.98154,                0.87012,                0.54194,                0.62077,                0.95949,               8.17e-05,               8.17e-05,               8.17e-05
                     70,                0.59295,                 1.0069,                 1.0386,                0.93709,                0.95673,                0.98246,                0.86564,                0.56724,                 0.6054,                0.97277,             7.9225e-05,             7.9225e-05,             7.9225e-05
